9:25 AM - 11 Dec 2015|Racing way Dubai India @iptl pic twitter com OUgsbQtPhw|2.3K|5.9K
7:14 AM - 2 Dec 2015|SRK happy favorite cookie sharing Kajol BBC studio London@iamsrk 16 Days For Dilwale pic twitter com yvpTlxyJhi|25|32
1:33 AM - 2 Dec 2015|Considering megastar status lovely man https twitter com skysarahjane status 671981224735449088|381|161
4:30 AM - 2 Dec 2015|SPOTTED @_fawadakhan_ gorgeous wife They look adorable together don't pic twitter com B8LzbkKFri|7|16
4:42 AM - 2 Dec 2015|Fawad Khan looking damn hot wearing Bo Square outfit @BOLLYWOODSTYLEFILE Who-@_fa http tailor4less com pic twitter com snLqCqic1Z|5|7
4:52 AM - 2 Dec 2015|@imeandmyzelf Forever hiding us Its funny anymore _fawadakhan_|1|0
3:20 AM - 2 Dec 2015|16 Days For Dilwale @iamsrk @SRKUniverse pic twitter com vRQfvYvI27|9|6
12:38 AM - 2 Dec 2015|Wow This actual person https twitter com actressanjjanaa status 671770328603865088|10|7
1:30 AM - 2 Dec 2015|A Chennai resident wrote moving poem floods it's gone hugely viral http bzfd 1Xxhynx pic twitter com cmahfC0gB6|14|13
12:58 AM - 2 Dec 2015|I m excited see @_fawadakhan_ @aliaa08 #KapoorAndSons Aur wait nhi hota ab pic twitter com M2heaXokmU|2|8
6:54 AM - 29 Nov 2015|Perhaps road movie @ShraddhaKapoor @_fawadakhan_ best Vote choice http www bollywoodlife com news-gossip deepika-padukone-priyanka-chopra-alia-bhatt-shraddha-kapoor-who-would-look-best-with-fawad-khan-vote|4|2
7:01 AM - 1 Dec 2015|I believe India TOOLerant I explain Vir Das' #Potcast 9 Also Modi Climate Queen Share https www facebook com TheVirDasOfficial videos 1053118928053137|17|41
9:27 PM - 1 Dec 2015|B ' day bumps fawad - Today Article @timesofindia @sonamakapoor pic twitter com 2NintCPqYu|6|3
7:53 AM - 1 Dec 2015|The solidarity shown Chennai citizens right better reflection India entire intolerance debate|471|218
9:10 PM - 1 Dec 2015|Chennai flooding coverage morning's papers spectacular pic twitter com Ojob1kCQ5m|727|266
12:51 PM - 1 Dec 2015|Quite favorite celebrity couple @_fawadakhan_ @SadafFawadKhan1 #celebspotting pic twitter com p5H8uZuS7w|16|51
12:27 PM - 1 Dec 2015|Reading tweets hashtag #HappyBirthdayFawadKhan So much love dedication @_fawadakhan_ hope u read it's FOR YOU|4|9
12:31 PM - 1 Dec 2015|@HASNAAmoon @_fawadakhan_ We even made trend big deal since time pic twitter com bwjyqUA41J|4|5
7:38 AM - 1 Dec 2015|Many people died cars Bombay floods power windows central locking jammed Don't sit broken cars #flood|2.3K|1.2K
5:44 AM - 1 Dec 2015|WHAT VFX Here's PROOF #Gerua shot authentically http www bollywoodlife com news-gossip 5-things-that-prove-shah-rukh-khan-and-kajols-gerua-from-dilwale-is-not-just-vfx #DilwaleMonth pic twitter com oPDNclYHcE|110|88
8:50 AM - 1 Dec 2015|It official I love SRK I watch Dilwale Bajirao Mastani Only SRK n u @Reema_dsouza123 @imeandmyzelf @aleenaazhar1|1|3
8:23 AM - 1 Dec 2015|@iamsrk poses photographers photo call film Dilwale London 17 Days For Dilwale pic twitter com CbUurhYUBo|6|10
6:57 AM - 1 Dec 2015|@imeandmyzelf @aleenaazhar1 dunno y im n love SRK offlate tell u I see dilwale first n BM baad mein pucca|1|1
7:57 AM - 1 Dec 2015|Indeed love stories never end @iamsrk @KajolAtUN #17DaysForDilwale #DilwaleUKTakeover #DilwaleMonth pic twitter com VlqMedG5yU|11|9
6:33 AM - 1 Dec 2015|The #Dilwale awesome foursome strikes pose U K Just #17DaysForDilwale How excited pic twitter com xdpckfCMA0|316|695
6:29 AM - 1 Dec 2015|For Fawadians missing message last year Reading made feel better pic twitter com 5Vu4h93kxC|5|11
6:53 AM - 1 Dec 2015|Im super glad U chose India spend ur birthday weekend Makes feel spcl Indian Fan Hope love continues @_fawadakhan_|4|4
6:45 AM - 1 Dec 2015|@imeandmyzelf @crazy4fawad yes live The way replies co stars n fans It shows hw mch cares Koi sunay|1|0
6:51 AM - 1 Dec 2015|@aleenaazhar1 @imeandmyzelf oh srk expresses love like one else n sexy energy admire much esp offscreen|1|1
4:30 AM - 1 Dec 2015|You know clever alternative tux It bandhgalas Watch #GiovaniMan #FawadKhan rock one like pro pic twitter com sEKOvg8j0Y|17|19
4:14 AM - 1 Dec 2015|I AM SHIVERINGGGGGGG FAWAD KHAN REPLIED JUST NOW THIS IS FOR EACH AND EVERY ONE OF US pic twitter com Cz77AITFli|30|73
3:53 AM - 1 Dec 2015|The day starts warm welcome breakfast @itvthismorning @hollywills @EamonnHolmes thank u go pic twitter com ISEwOBOES0|4.1K|11K
6:22 AM - 29 Nov 2015|I know Smriti Irani made HRD Minister She IIT IIM NIT IIIT AIIMS even IIN name|293|185
2:12 AM - 1 Dec 2015|Nicely made video https twitter com FadooTV status 671601707172757504|3|2
12:08 AM - 1 Dec 2015|@imeandmyzelf lol yes But heart overflowing love Kapoor sisters today|1|1
11:30 PM - 30 Nov 2015|17 tweets hilariously true commuting Mumbai locals http bzfd 1NDHOI6 pic twitter com 0mfU85CxYv|4|3
11:03 PM - 30 Nov 2015|Love @sonamakapoor https twitter com alinaa518 status 671575386388467712|2|0
2:33 PM - 30 Nov 2015|Most fun table room http ift tt 1IktRfH pic twitter com XTB22N3waJ|457|2.9K
7:30 PM - 30 Nov 2015|Good morning fawadians #throwback #fawadkhan @imeandmyzelf @Reema_dsouza123 @Architypes12 @iPriyankaRaghu pic twitter com 5jlO8aAzp6|3|10
5:24 PM - 30 Nov 2015|OMG MY MORNING HAS TURNED OUT TO SUPER AWESOME The Reunion blissful #FawadSonam #FawadKhan #SonamKapoor https twitter com ProudSonaholic status 671452646688034816|5|7
6:36 PM - 30 Nov 2015|@RheaKapoor posted insta yday nite #FawadKhan celebrating bday @FawadSadaf @sonamakapoor https www instagram com p -uaXraLVT1|2|3
2:25 PM - 30 Nov 2015|#FawadKhan celebrating birthday Sadaf Sonam Kapoor https twitter com FawFKL status 671453367273709568|27|35
7:41 AM - 30 Nov 2015|#Dilwale buzzing Mumbai Airport @iamsrk @Varun_dvn @KajolAtUN @kritisanon #Dilwale18Dec #SRK_Tree pic twitter com fcpoNuM9Dp|389|841
10:21 AM - 30 Nov 2015|@iamsrk WWM CEO Deepak Lamba red carpet #AbsolutElyxFilmfareGlamourAndStyleAwards pic twitter com 5BZTVHMzMp|253|341
9:48 AM - 30 Nov 2015|#ShahRukhKhan wins Global Icon year award Wooot @iamsrk pic twitter com 6z6qBp5mrm|244|186
9:31 AM - 30 Nov 2015|@iamsrk slays red carpet #AbsolutElyxFilmfareGlamourAndStyleAwards http bit ly 1MZCusS pic twitter com zxN9QdrfV7|206|245
9:16 AM - 30 Nov 2015|The man @iamsrk makes grand entry #AbsolutElyxFilmfareGlamourAndStyleAwards How hot pic twitter com 0JRJFUxqK6|385|465
9:10 AM - 30 Nov 2015|Decided check #FawadKhan 's ig cause I haven't stalked awhile honestly man's love wife pure perfection|5|5
8:34 AM - 30 Nov 2015|Before anyone say word anyone's dress think Its life let live one say #peace|4|11
8:25 AM - 30 Nov 2015|THAT MOMENT upload pic moment visited id #FawadKhan wife @FawadSadaf Goa pic twitter com RPqKN2Tsl7|26|51
8:11 AM - 30 Nov 2015|@jiteshpillaai expected mumbai event today I hope attends havent seen indian event ages|1|3
9:27 PM - 29 Nov 2015|Fawad khan dubai 12th December Celebrating 5 years Filmfare Me https www facebook com FilmfareMiddleEast videos 915776161803029|40|55
2:22 AM - 30 Nov 2015|No superstar like eh And know one else much sport @iamsrk either SVP #srkrocks https twitter com batcaveowner status 671267280039239680|37|18
5:50 AM - 30 Nov 2015|He one fulfilled promise troll anybody everybody made us laugh https twitter com RoflGandhi_ status 436942604425777152|39|64
6:32 AM - 30 Nov 2015|Fawad Khan's unseen pic pic twitter com jrku1fidJS|2|2
6:35 AM - 30 Nov 2015|Aw it's happening today Good luck Fawad Khan hope he's https twitter com filmfare status 671335947275907073|3|5
4:43 AM - 30 Nov 2015|Yes A great find https twitter com KirtyKochar status 670918412483203072|3|1
2:10 AM - 30 Nov 2015|#Warid wishes Super star #FawadKhan birthday Details #FawadKhan add #WaridLTE http goo gl cFfiDl pic twitter com g4yVOPx8kt|11|12
8:57 AM - 29 Nov 2015|Is #BajiraoMastani comedy film Just watched song Bajirao dancing modern steps Definitely history|211|185
1:30 AM - 30 Nov 2015|Fawad Khan quiet birthday dinner wife Sadaf Read http bit ly 1XCzM1D pic twitter com GYJ3avNi1u|44|119
1:28 AM - 30 Nov 2015|@crazy4fawad @Reema_dsouza123 @imeandmyzelf see http www thenewsteller com pakistan social on-fawad-khan-birthday-twitter-influxes-with-greetings 28792|6|4
11:13 PM - 29 Nov 2015|If Twinkle wasn't bad enough possibility getting called Twikky - God help Hahhaha pic twitter com y3u6B3Zrau|151|594
11:08 PM - 29 Nov 2015|First look Fawad Khan REPUBLIC Omar Farooq upcoming photoshoot pic twitter com b2p7wZbmix|16|25
5:32 AM - 29 Nov 2015|Here needed today #FawadKhan b @filmfare party 12 dec #FawadKhan #HappyBirthdayFawadKhan pic twitter com IGXSa2KR9J|15|16
11:08 AM - 29 Nov 2015|Shout fawadians across world We amazing fans #HappyBirthdayFawadKhan|12|20
7:24 AM - 29 Nov 2015|#throwback #FawadKhan interview http www dailyo arts fawad-khan-khoobsurat-siddharth-malhotra-anil-kapoor-sonam-kapoor-kapoor-and-sons-shakun-batra story 1 3861 html #HappyBirthdayFawadKhan|4|5
6:30 AM - 29 Nov 2015|UNSEEN PIC OF FAWAD KHAN WITH @DIVYASOLGAMA #HappyBirthdayFawadKhan pic twitter com J5nV8KENs3|6|8
9:36 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Five reasons we're love prince Pakistan @_fawadakhan_ @TeamFawadAKhan http urb 99555|10|10
10:32 AM - 29 Nov 2015|And day ends #HappyBirthdayFawadKhan wishing countless bdays love laughter joy love u sky n back|5|5
10:26 AM - 29 Nov 2015|It indeed tribute Nusrat Fateh Ali Khan Missed Afreen though thank @VishalDadlani @Raghu_Dixit pic twitter com ef4qXbYsRt|19|32
10:41 AM - 29 Nov 2015|Wishing great things life LOTS OF LOVE FROM FRANCE #HappyBirthdayFawadKhan @_fawadakhan_ pic twitter com Z2n5BZUgzj|6|12
9:46 AM - 29 Nov 2015|A warm tight birthday hug crush @_fawadakhan_ You're Zaroon forever #HappyBirthdayFawadKhan pic twitter com NNz88qMFn3|4|18
10:33 AM - 29 Nov 2015|@Architypes12 @crazy4fawad @imeandmyzelf Gosh one brings back memories I like one https www youtube com watch v 55qQYSNBsOg|2|2
10:31 AM - 29 Nov 2015|https youtu tO8wQOtaLJk one - also hot #HappyBirthdayFawadKhan @crazy4fawad @Reema_dsouza123 @imeandmyzelf @imeandmyzelf|2|1
10:27 AM - 29 Nov 2015|May Allah bless You truly enrich life beautiful things u beautiful soul #HappyBirthdayFawadKhan pic twitter com maROCF4USc|9|18
10:23 AM - 29 Nov 2015|I wish see screen big small u rock u treat watch #HappyBirthdayFawadKhan|3|2
10:26 AM - 29 Nov 2015|https youtu h4EQ3KPbVtw #HappyBirthdayFawadKhan @_fawadakhan_ @crazy4fawad @Reema_dsouza123 How hot shoot|2|0
10:09 AM - 29 Nov 2015|It wonderful day spent FAWADians Again #HappyBirthdayFawadKhan still waiting 1 response @_fawadakhan_|5|3
10:04 AM - 29 Nov 2015|#HappyFawadDay guys #HappyBirthdayFawadKhan pic twitter com qIF1Uv5Tmw|7|8
10:04 AM - 29 Nov 2015|Blushing #HappyBirthdayFawadKhan pic twitter com GZATM3iTrP|5|0
9:35 AM - 29 Nov 2015|Im ur fan forever N mean N love gesture placing ur hand ur heart - #HappyBirthdayFawadKhan pic twitter com Xgbk4Xlqzu|4|3
10:00 AM - 29 Nov 2015|So true It's really feels like family Family share passion #HappyBirthdayFawadKhan https twitter com crazy4fawad status 671020979074678784|4|4
9:40 AM - 29 Nov 2015|U given fantastic friends Twitter There whole twitter family @_fawadakhan_ Thanks 2 u #HappyBirthdayFawadKhan|9|4
9:38 AM - 29 Nov 2015|Happy birthday #Fawadiens day happy #HappyBirthdayFawadKhan pic twitter com nRA3CRyWmm|5|4
9:26 AM - 29 Nov 2015|Wake Fawadians it's Fawad Khan's birthday trend #HappyBirthdayFawadKhan show love Let's pic twitter com YAXm830RmH|21|39
8:14 AM - 29 Nov 2015|Soooooo Cuteee #HappyBirthdayFawadKhan pic twitter com bHRtewTuM3|2|4
7:39 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Wishing Rocking Happy Birthday pic twitter com Iry0lUA2aF|2|1
9:20 AM - 29 Nov 2015|I m Dead #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan pic twitter com o49l9OJhMf|3|3
9:14 AM - 29 Nov 2015|I going celebrate Fawad's birthday watching favorite scenes frm ZGH Humsafar Khubsurat Behadd n Dastaan #HappyBirthdayFawadKhan|12|12
8:59 AM - 29 Nov 2015|Now need bday boy #HappyBirthdayFawadKhan pic twitter com dnyAP3ex4k|5|5
9:00 AM - 29 Nov 2015|people play hair pic twitter com fcl1tkSwCD|597|920
9:03 AM - 29 Nov 2015|Fawad Urainge #HappyBirthdayFawadKhan pic twitter com fKtjn9puUJ|3|1
8:23 AM - 29 Nov 2015|Me I see pic FK ZGH Episode No X Scene No X Background music X Zaroon position mein tha Kashaf position mein thi|2|1
8:57 AM - 29 Nov 2015|The handsome host #HappyBirthdayFawadKhan pic twitter com BCpkgNABaC|4|8
8:43 AM - 29 Nov 2015|My Favorite photo Fk He pure like transparent Glass #HappyBirthdayFawadKhan pic twitter com jEk5KgRbt2|7|10
8:32 AM - 29 Nov 2015|Let's Party cuz it's Fawad's birthday love madly #HappyBirthdayFawadKhan pic twitter com oRDQ5Jl5Df|9|6
8:45 AM - 29 Nov 2015|Such lovely color fave shade N love sadaf's toned arms #HappyBirthdayFawadKhan pic twitter com aFYJY3ywDF|4|2
8:21 AM - 29 Nov 2015|I hope magical day full love happiness #HappyBirthdayFawadKhan Charming Personality pic twitter com mjrO0z7Q9n|9|9
8:21 AM - 29 Nov 2015|Quiet intensity timeless charm #FawadKhan #ypo #keynotespeaker pic twitter com ebxFEM7inw|19|27
8:15 AM - 29 Nov 2015|Happy birthday Rock Star #HappyBirthdayFawadKhan pic twitter com 4uLz6PaKwS|7|8
8:05 AM - 29 Nov 2015|@karanjohar hey kjo #HappyBirthdayFawadKhan -|3|4
8:03 AM - 29 Nov 2015|Uffff smile #HappyBirthdayFawadKhan pic twitter com PikGVoGmtI|5|2
8:07 AM - 29 Nov 2015|Glares look best else #FawadKhan #HappyBirthdayFawadKhan pic twitter com K8EO390ksA|12|14
8:08 AM - 29 Nov 2015|Slaying us #HappyBirthdayFawadKhan pic twitter com mI71GrKRJY|3|1
8:09 AM - 29 Nov 2015|We missing u loads #FawadKhan #HappyBirthdayFawadKhan pic twitter com SGQUcQEFsO|7|6
7:32 AM - 29 Nov 2015|@_fawadakhan_ #HappyBirthdayFawadKhan Hoping At Least In Morning I See Your Tweet Which You'll Tweet Late Night pic twitter com ONNKJBspzY|1|0
7:48 AM - 29 Nov 2015|The Way He Holds Her Hand #Khoobsurat #HappyBirthdayFawadKhan pic twitter com cROvzcpr0K|2|2
8:00 AM - 29 Nov 2015|HIS MILLION DOLLAR SMILE #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan #HappyBirthdayFawadKhan pic twitter com hzBWjK9qvP|8|17
8:00 AM - 29 Nov 2015|#BirthdaySpecial Here 10 things know man hour @_fawadakhan_ http bit ly 1Ngu0wB pic twitter com pm99Mrn8w7|70|181
7:16 AM - 29 Nov 2015|@crazy4fawad @imeandmyzelf These new fav movie reviewers https youtu 3oArEyrK0rQ|1|0
6:29 AM - 29 Nov 2015|@_fawadakhan_ You don't even know u mean us #HappyBirthdayFawadKhan|2|0
6:31 AM - 29 Nov 2015|Wow new #HappyBirthdayFawadKhan https twitter com Fawad_Ishq status 670972552399990784|1|2
6:32 AM - 29 Nov 2015|Rt If you're Trending Happy Birthday Fawad Khan #HappyBirthdayFawadKhan|4|1
6:19 AM - 29 Nov 2015|Happy Birthday @_fawadakhan_ #HappyBirthdayFawadKhan @TeamFawadAKhan pic twitter com qnmZi56MTo|7|7
6:34 AM - 29 Nov 2015|Happy Birthday Fawad Khan Wish You Very #HappyBirthdayFawadKhan pic twitter com mcjMoTNlTC|3|1
6:34 AM - 29 Nov 2015|@_fawadakhan_ One Of My Favourite Pics Of #FawadKhan With Cute Fans #HappyBirthdayFawadKhan pic twitter com 6b1qn2ERaD|6|4
6:35 AM - 29 Nov 2015|Video #FawadKhan attend 5th Filmfare ME party 12th December Dubai https m facebook com story php story_fbid 915776161803029 id 167778289936157 refid 17 _ft_ top_level_post_id 915776161803029 3Atl_objid 915776161803029 __tn__ 2As|7|12
6:51 AM - 29 Nov 2015|@_fawadakhan_ @FawadSadaf #sadaffawadkhan U Plz Tell Him To Tweet Today Apki Toh Sunte Hai #HappyBirthdayFawadKhan pic twitter com inLwEqTnie|3|7
6:55 AM - 29 Nov 2015|That smile #HappyBirthdayFawadKhan pic twitter com 1oRpbBUG3M|6|4
6:47 AM - 29 Nov 2015|#HappyBirthdayFawadKhan To d magnetic personality u r crush past 2yrs n dis special datI felt never b4 pic twitter com LQboeTbg0V|5|2
6:56 AM - 29 Nov 2015|WHITE makes Khoobsurat #HappyBirthdayFawadKhan pic twitter com P225FXuTxv|15|18
6:58 AM - 29 Nov 2015|HOW ANY FAWADIANS ARE THERE RIGHT NOW #HappyBirthdayFawadKhan #FawadKhan|5|2
6:59 AM - 29 Nov 2015|I #HappyBirthdayFawadKhan @_fawadakhan_ We love much Enjoy birthday pic twitter com 5xeI1X8o8Q|8|6
7:00 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Hope reached destination enjoy relaxing birthday|4|2
6:55 AM - 29 Nov 2015|#HappyBirthdayFawadKhan My collage cutsouts frm various mag nwsppr Thats I pics pic twitter com nfMK4aidvB|19|24
7:03 AM - 29 Nov 2015|No doubt #HappyBirthdayFawadKhan https twitter com sheetalsbhardw1 status 670980836561305600|3|3
7:05 AM - 29 Nov 2015|#HappyBirthdayFawadKhanThe Handsome man Love u Fawad khan pic twitter com RiQc486f5i|6|5
7:04 AM - 29 Nov 2015|You know sometimes meet someone everything changes Just like #HappyBirthdayFawadKhan pic twitter com 3aa9ixnDBp|3|1
7:03 AM - 29 Nov 2015|king expression #HappyBirthdayFawadKhan pic twitter com WE5gcyN7fW|4|2
7:06 AM - 29 Nov 2015|All favourite bas fawad hona chahiye #HappyBirthdayFawadKhan https twitter com sabtau status 670961346230558720|4|2
6:38 AM - 29 Nov 2015|@_fawadakhan_ A Big Smile Comes On My Face After Seeing My Hero #FawadKhan New Pics #HappyBirthdayFawadKhan pic twitter com kfP92Za8HE|4|2
6:39 AM - 29 Nov 2015|Best Filmfare cover #HappyBirthdayFawadKhan pic twitter com 4RRORLnRPj|4|3
6:44 AM - 29 Nov 2015|@_fawadakhan_ Just Say Hiii To All FAWADIANS At least Today Yaar #HappyBirthdayFawadKhan pic twitter com wQBGL3aIrE|1|0
6:42 AM - 29 Nov 2015|Happy Birthday Fawad Khan #HappyBirthdayFawadKhan pic twitter com qLqJ1j3gZ0|6|8
6:50 AM - 29 Nov 2015|Happy Birthday Fawad Khan #HappyBirthdayFawadKhan pic twitter com 9zrq4Ohkb8|10|10
6:47 AM - 29 Nov 2015|@_fawadakhan_ This Look Is For All FAWADIANS Who Are Thinking FAWAD Aj Tweet Karega Ya Nahi #HappyBirthdayFawadKhan pic twitter com hXp5sPtZCK|1|3
6:29 AM - 29 Nov 2015|HOW CAN HE BE SOOOOOOOO HOT FAWAD KHAN AT THE AIRPORT TODAY TODAY #HappyBirthdayFawadKhan pic twitter com Z2VMmGSCRK|22|48
5:45 AM - 29 Nov 2015|#HappyBirthdayFawadKhan ur rockstar pic twitter com t0SRHyk2gC|4|0
5:47 AM - 29 Nov 2015|waiting like #FawadKhan #HappyBirthdayFawadKhan plz something us pic twitter com iU1YehQZnU|4|2
5:44 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Keep Smiling always pic twitter com iX2mBnJjRR|3|1
5:49 AM - 29 Nov 2015|After seening #ManmaEmotionJaageRe #FawadKhan #HappyBirthdayFawadKhan pic twitter com 0uhZcb2aSU|4|0
5:51 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Hope day would bring alot happieness joy every click brings smile face love|2|0
5:48 AM - 29 Nov 2015|When I started liking Fawad Khan Daastaan #HappyBirthdayFawadKhan @TeamFawadAKhan @_fawadakhan_ pic twitter com 8TSnVYxkv2|4|2
5:55 AM - 29 Nov 2015|#HappyBirthdayFawadKhan #FawadKhan white shirt dreams r made - pic twitter com FtvdHNWGO0|2|0
5:38 AM - 29 Nov 2015|@TeamFawadAKhan I've seen first drama Dil de k jaengay aired Geo tv #HappyBirthdayFawadKhan pic twitter com 57jWXiA0Kb|5|5
5:43 AM - 29 Nov 2015|@TeamFawadAKhan I love earth personality dashing looks #HappyBirthdayFawadKhan pic twitter com VQpuRdcuTc|3|5
5:50 AM - 29 Nov 2015|@TeamFawadAKhan As Prince Vikram Khoobsurat That wasLove first sight - #HappyBirthdayFawadKhan|2|2
5:56 AM - 29 Nov 2015|#HappyBirthdayFawadKhan This u @iPriyankaRaghu pic twitter com BHxvgtPVT3|3|0
1:04 AM - 29 Nov 2015|Happyyy Birthday 2 u Fawad Afzal Khan May ALLAH BLESS u wd Long nd Happy life AMEEN @fwadakhan @bhavi_ksg_fk pic twitter com eK0NWPLbjb|4|4
1:01 AM - 29 Nov 2015|Happyyy Birthdayyy 2 u Faaawwwaaaddd Khan may u celebrate many @fwadakhan @bhavi_ksg_fk pic twitter com m6jH9mcC3R|4|3
12:55 AM - 29 Nov 2015|Happyyy Birthdayyy 2 u Fawad Afzal Khan @fwadakhan @bhavi_ksg_fk pic twitter com FCnl1Jjhyl|4|3
7:39 PM - 28 Nov 2015|#HappyBirthdayFawadKhan A genuine sweet dashing human flawless actor Loads love Keep smiling 3 pic twitter com zgb8KJS69O|7|6
1:47 PM - 28 Nov 2015|Happy Birthday one humble talented charming humans @_fawadakhan_ Loads Love God bless 3 pic twitter com CtCDBHTaoN|4|3
6:04 AM - 29 Nov 2015|Happy birthday everyone's favorite zaroon #HappyBirthdayFawadKhan pic twitter com Xh7bAOJqq0|2|2
6:03 AM - 29 Nov 2015|How much love darling Much much love https twitter com crazy4fawad status 670964674213580800|1|2
5:57 AM - 29 Nov 2015|#HappyBirthdayFawadKhan One feel love - pic twitter com WqjYiIldzr|4|1
5:57 AM - 29 Nov 2015|@_fawadakhan_ I Know thoda sa cheessyy ho gaya I Hope u like #HappyBirthdayFawadKhan #love pic twitter com yLiMnqEsfa|9|11
5:58 AM - 29 Nov 2015|#HappyBirthdayFawadKhan awwwww u give dad vibes pic love u #FawadKhan pic twitter com szVVhfBf11|6|3
5:56 AM - 29 Nov 2015|When I started loving like crazily madly FK Humsafar magic continues #HappyBirthdayFawadKhan pic twitter com jyaAGpgxQ6|7|2
5:43 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Such different look I love #FawadKhan pic twitter com 73glR32IbK|3|1
5:37 AM - 29 Nov 2015|Fawad Khan Jamal appreciation tweet Cos Damn character pure perfection #HappyBirthdayFawadKhan pic twitter com TjOakedhbs|23|22
5:40 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Love chars played n look Asghar LOL pic twitter com UATirveKMG|8|2
5:40 AM - 29 Nov 2015|everyone #HappyBirthdayFawadKhan|2|1
5:37 AM - 29 Nov 2015|Dude Ur voice #HappyBirthdayFawadKhan https twitter com Fawad_Ishq status 670958398259798017|4|2
5:35 AM - 29 Nov 2015|FAWAD KHAN THE ROCKSTAR Love badass avatar #HappyBirthdayFawadKhan pic twitter com 6IVqqQnFCj|3|3
5:29 AM - 29 Nov 2015|#HappyBirthdayFawadKhan So tuff choice Clean Shaven ya Beard - pic twitter com DM3OXOD7Iv|6|2
5:32 AM - 29 Nov 2015|Happy happy birthday @_fawadakhan_ aka Prince Viku Loads love SonaHolics pic twitter com XgwvNu7JSu|22|27
5:31 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Hassan Love pic twitter com Baru3i0sgq|4|4
5:29 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Love smile ur face Always keep smiling pic twitter com HvW2lP7Idu|4|1
3:19 AM - 29 Nov 2015|Happy birthday hot stuff @_fawadakhan_ #FawadKhan pic twitter com Ab2VJnpvgL|8|16
5:28 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Looovvvee u pic twitter com 0hFIFxgb3P|2|2
5:26 AM - 29 Nov 2015|#HappyBirthdayFawadKhan u kind eyes pic twitter com kvS1eZstE5|3|2
5:25 AM - 29 Nov 2015|RT waiting @_fawadakhan_ tweet I know it's silly v got take #HappyBirthdayFawadKhan worldwide trend list|18|9
5:25 AM - 29 Nov 2015|An epitome Perfection #HappyBirthdayFawadKhan|4|3
5:25 AM - 29 Nov 2015|#HappyBirthdayFawadKhan U know whats hotter #FawadKhan glares pic twitter com ZNK6Vjx59b|3|1
5:22 AM - 29 Nov 2015|ACTUALLY EVERYONE KNOW THIS D #HappyBirthdayFawadKhan #FawadKhan pic twitter com z7j9i7XjDb|8|6
5:24 AM - 29 Nov 2015|Blue favourite #FawadKhan #HappyBirthdayFawadKhan pic twitter com HyKqTUbtmY|2|1
5:24 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Dude ur sexy n u know - pic twitter com 330sEM7Uun|7|2
5:19 AM - 29 Nov 2015|@Fawad_Ishq take Fawad khan sadaf birthday pic twitter com JjLXj1wwn2|3|5
5:23 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Hottie blue pic twitter com TJBm9iMst4|4|1
5:09 AM - 29 Nov 2015|Filmfare ME wishes Fawad Khan happy Birthday He turns 34 today #BirthdaySpecial #FawadKhan Fawad Afzal http fb 4jGIkWRlE|3|3
5:07 AM - 29 Nov 2015|Happiest birthday love Hotness ki dukaan #FawadKhan pic twitter com y0kzOLi7fs|5|2
5:23 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Love edit #FawadKhan Eugene 3 pic twitter com GbZVW9YD45|6|3
5:19 AM - 29 Nov 2015|@_fawadakhan_ small clips give us big joy please #WeWantVideomessage make us happy #FawadKhan #HappyBirthdayFawadKhan|4|3
5:07 AM - 29 Nov 2015|Hay handsome luv u small word hope 2 see u someday even person like u #HappyBirthdayFawadKhan pic twitter com 2AouRShef7|6|11
3:33 AM - 29 Nov 2015|#HappyBirthdayFawadKhan screaming YES I Do pic twitter com LvA4SsFKqd|4|8
5:14 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Im love header n dont ask D|2|1
3:49 AM - 29 Nov 2015|killer smile #HappyBirthdayFawadKhan pic twitter com BAQtvtOf2a|4|5
5:06 AM - 29 Nov 2015|#HappyBirthdayFawadKhan birthday selfie|3|1
5:05 AM - 29 Nov 2015|#HappyBirthdayFawadKhan Meri life pic twitter com XaUAHpwKDq|3|4
5:06 AM - 29 Nov 2015|Its okay thank Love regards - unofficial wife https twitter com TheShilpaShetty status 670856071808839680|3|0
10:29 AM - 28 Nov 2015|Its 12 Happy BDay D person admire respect nd whose m huge fan @_fawadakhan_ #HappyBirthdayFawadKhan pic twitter com V1ezb4JxAw|7|6
4:52 AM - 29 Nov 2015|I LOVE U ZAROOON anothr blockbuster #ZindagiGularHai #HappyBirthdayFawadKhan @_fawadakhan_ pic twitter com avC5RqUuLd|7|6
