12:10 PM - 21 Nov 2015|YOUR 2015 BIG TEN WEST CHAMPIONS #IOWA #HAWKEYES|155|223
10:10 AM - 21 Nov 2015|Purdue Pete getting pummeled snowballs Iowa fans|60|94
9:39 AM - 21 Nov 2015|First quarter numbers pic twitter com KSskKqEiCF|31|51
6:30 AM - 21 Nov 2015|Big opportunity today @kinnickstadium Senior Day #Hawkeyes http snpy tv 1O7ayHV|459|510
7:16 AM - 21 Nov 2015|Nile Kinnick doesn't care snow pic twitter com tgrRh9bGFn|59|99
4:36 PM - 20 Nov 2015|There's something snow covered Kinnick pic twitter com INt0E5nBVh|309|445
1:27 PM - 20 Nov 2015|A man gotta code https twitter com DMVFollowers status 667700199465336833|907|544
10:21 PM - 19 Nov 2015|I watched happen I don't believe|10|41
7:28 PM - 19 Nov 2015|Russell teammate KD His passion community state organization unmatched pic twitter com g2OzEKpdpD|296|632
11:26 AM - 19 Nov 2015|new favorite shirt https twitter com _AJSPECK_ status 667418229187477505|63|123
9:52 PM - 18 Nov 2015|It's weird science still hasn't figured way make song better Hot In Herre|104|230
5:09 PM - 18 Nov 2015|Head coach Kendrick Perkins thing pic twitter com jltyY3hnHi|16|64
3:53 PM - 18 Nov 2015|BREAKING Jake Arrieta wins NL Cy Young award becoming 5th @Cubs pitcher take home award pic twitter com S2Cy0PFeMy|5.4K|6.1K
6:46 AM - 18 Nov 2015|distraction struggling Nebraska football team https twitter com dliebelson status 666990622818050048|13|10
8:42 AM - 18 Nov 2015|No 1 party school America https twitter com jd_oleary status 667013369573056512|6|7
6:57 PM - 17 Nov 2015|Staying steady No 5 latest @CFBPlayoff rankings #Hawkeyes pic twitter com Nh9aqo0COg|312|607
3:49 PM - 17 Nov 2015|Your 2015 @officialBBWAA NL Manager Year @CubsJoeMadd http atmlb com 1WXYbn5 pic twitter com 3waIH8afPU|1.4K|1.4K
3:58 PM - 16 Nov 2015|Hey @HawkeyeFootball NEW #BTNJourney features Desmond King WED 11p ET http snpy tv 1MHqijW @ScottDochterman @micah_hyde @chadgreenway52|89|99
3:19 PM - 16 Nov 2015|Congratulations @KrisBryant_23 unanimous 2015 National League Jackie Robinson Rookie Year https amp twimg com v 40a57c7b-bab9-4a39-be9e-f726a6dcae94|5.3K|4.9K
11:36 AM - 16 Nov 2015|When turn 22 you're 11-0 starting QB #Iowa #Hawkeyes Happy birthday CJ Beathard pic twitter com P177Q79Ymn|163|221
9:19 PM - 15 Nov 2015|Drew Stanton amazing pic twitter com b85pGTd2rR|4.4K|4.3K
7:28 PM - 15 Nov 2015|Russ basically told reporter Don't get twisted No one league matches well Gottdammit Russ I fuckin love|85|82
6:04 PM - 15 Nov 2015|Looking good @MHCoralville pic twitter com LCE9x8v78M|406|951
2:25 PM - 15 Nov 2015|Iowa drew people Kinnick Stadium wrestling match 42 287 70 FBS teams averaging home games 2015|298|292
8:46 PM - 14 Nov 2015|Incredible moment @HawkeyeFootball players walk hand-in-hand way claim Floyd Rosedale http snpy tv 1MJPkPp|436|648
9:48 PM - 14 Nov 2015|Women's Basketball win Men's Basketball win Wrestling win Football win #HawkFanHeaven|400|752
8:52 PM - 14 Nov 2015|You #Hawkeye fans pretty great Wasn't expecting pic twitter com 5IpxIsaDu1|761|1.3K
9:03 PM - 14 Nov 2015|#Iowa 1st #FBS team since #LSU 1997 least 3 different players rush 195 yards game season|229|309
