12:25 AM - 4 Oct 2015|Early bday celebrations never get old pic twitter com xHEVaKAxcX 
4:01 PM - 3 Oct 2015|Officially #Halloween month What's your favorite scary movie 
12:02 PM - 3 Oct 2015|Who am I #HalloweenInspo #IsItTooEarly pic twitter com Fpen4ECvNc 
11:32 AM - 3 Oct 2015|Supporting women's rights w @DaRealAmberRose @maggiegeha #SlutWalk pic twitter com p3uY3stBKJ 
5:46 PM - 2 Oct 2015|A little overdressed for this performance but I like to believe the surfers in the background https instagram com p 8WXPvKASUj 
5:21 PM - 2 Oct 2015|The very lovely @RachelRoams and @AndreaFeczko have a new video out Check it out -- https www youtube com watch v G69fNo92LaI It is right here #Zipline 
4:05 PM - 2 Oct 2015|Apparently my claim to fame back in Michigan is my @yoplaitgreek Commercial I'll take it #FBF pic twitter com WXSZGjG6qR 
12:03 PM - 2 Oct 2015|Am I doing this mirror selfie thing right pic twitter com 6QEPMEo64O 
11:16 PM - 1 Oct 2015|You have no idea how good this breeze felt In 30C weather with near 100 humidity- I was very happy https instagram com p 8UQ4txASWe 
4:50 PM - 1 Oct 2015|What to Wear on The Plane http ow ly SReag #Travel @how2travelers pic twitter com y8fTaSIEoS 
11:50 AM - 1 Oct 2015|Planning a trip around the world this month Here are some stops you might want to make http ow ly SRdde 
10:19 PM - 30 Sep 2015|I love how a lot of you told me to solve my Being Locked Out problem by having a glass of wine I took the advice Thank you 
10:14 PM - 30 Sep 2015|Magic Hour at Tanah Lot femous #WanderlustWednesday @ Tanah Lot https instagram com p 8SGdgrgSYG 
10:07 PM - 30 Sep 2015|Congrats to @TheQYOU on the one year anniversary of the launch So honored to be working w such fun talented ppl pic twitter com 2nAXSuzTkJ 
8:17 PM - 30 Sep 2015|When jet lagged-- do not leave the apartment Or at least leave WITH the keys #jetlagproblems pic twitter com 43jlqfmPoU 
6:45 PM - 30 Sep 2015|Apparently on a role with the French thing today #OuiOui pic twitter com B5CGe77gxg 
11:58 PM - 29 Sep 2015|Okay the guy was right- this sh t is on point #narita #terminal2 pic twitter com sC1MdFID1b 
11:41 PM - 29 Sep 2015|I asked if the Tokyo airport sushi was good- the guy looked at me w eyes saying yes bitch this is japan-I guess there r stupid questions 
7:16 AM - 29 Sep 2015|Big congrats to @finalkid and @ultra for an amazing aftermovie and event Hope to see u all at Ultra 2016 https youtu be F0xoBUDUYyo 
7:05 AM - 29 Sep 2015|So Ubud is like HipsterVille- but with backpacks and crystals Thank goodness the wine is cheap #bali #TravelTuesday 
