12:18 PM - 19 Jun 2011|GOD i m in LOVE again but the problem is wid the same girl 
11:33 AM - 19 Jun 2011|i have gone crazy 
12:15 PM - 19 Jun 2011|ONLY 6 HOURS LEFT GO VOTE FOR AVRIL LAVIGNE AS UR FAVE ARTIST SHE MUST WIN http bit ly voteavrilmmva 
10:15 PM - 17 Jun 2011|@AvrilLavigne you have NO idea I'm about to hop on a plane I swear 
1:36 AM - 18 Jun 2011|PLEASE VOTE FOR AVRIL http on fb me vote4avril JUST KLIK LIKE #MMVA2011 
11:54 PM - 8 Jun 2011|@KitWatson dnt wanna tlk wid me 
2:09 PM - 8 Jun 2011|@KieranStrange best of luck i knw u have this 
4:19 AM - 8 Jun 2011|@KitWatson damn u didnt replied 
12:37 AM - 6 Jun 2011|RT @HEYNNAH01 @KitWatson I LOVE IITTTTTTTTTTTTTT xoxo @KieranStrange Thank you 
11:42 PM - 5 Jun 2011|@KitWatson bad girl 
11:24 PM - 5 Jun 2011|@KitWatson r u dead 
11:19 PM - 5 Jun 2011|@KitWatson k dnt Y i am asking evrythg y aint u 
11:17 PM - 5 Jun 2011|@KitWatson Dats y DM is used 
11:15 PM - 5 Jun 2011|@KitWatson grt ur full name 
11:13 PM - 5 Jun 2011|@KitWatson famous artist u worked wid 
11:12 PM - 5 Jun 2011|@KitWatson where in canada 
11:09 PM - 5 Jun 2011|@KitWatson great where u leave 
11:08 PM - 5 Jun 2011|@KitWatson n do wat video editor 
11:04 PM - 5 Jun 2011|@KitWatson wats ur proffession 
11:03 PM - 5 Jun 2011|@rodneyondrums then shut up 
10:51 PM - 5 Jun 2011|@KitWatson k i will chk 
10:44 PM - 5 Jun 2011|@KitWatson nope didnt c 
10:42 PM - 5 Jun 2011|@JimmyMcGorman @Ferlazz @rodneyondrums u all are quarreling like small 12 year kids But Its nice to be Childish D 
9:36 PM - 5 Jun 2011|@rodneyondrums @Airport_FRA Wow That is pretty great Never underestimate the power of twitter 
10:38 AM - 5 Jun 2011|@KitWatson cn I get a follow back 
4:20 AM - 5 Jun 2011|@KieranStrange Then u shd put down some weight -P 
2:07 AM - 30 May 2011|@KieranStrange downloaded ur album 
8:31 PM - 28 May 2011|@avril_bandaids I Love @AvrilLavigne coz she made me feel what Love is Its unexplainable Just I knw is dat I LOVE her I love her 
8:21 PM - 28 May 2011|@KieranStrange i got it 
12:28 AM - 27 May 2011|c ya' later twitter Birds 
12:13 AM - 27 May 2011|@yelyahLwilliams u dnt see me where r u frm n ur real name 
12:13 AM - 27 May 2011|@KieranStrange yaah nw say the site where to download it for free 
12:11 AM - 27 May 2011|@yelyahLwilliams bengali its in india I knw three language 
12:08 AM - 27 May 2011|@yelyahLwilliams but yaah english is not my my mother tounge but i m gud at it 
12:03 AM - 27 May 2011|@yelyahLwilliams no write short coz i txt a lot n u need speed short n undrstdable text 
11:59 PM - 26 May 2011|@yelyahLwilliams y u say dat 
11:36 PM - 26 May 2011|@yelyahLwilliams y wnt u follow me please 
11:34 PM - 26 May 2011|@KieranStrange now a long tym passed since ue ep release right 
11:16 PM - 26 May 2011|@KieranStrange oops @yelyahLwilliams talking about you 
11:04 PM - 26 May 2011|#NP Good intentions - @kieranstrange Such amazing song Loveeee 3 
11:49 PM - 25 May 2011|@yelyahwilliams no one shd tell u u will leak it 
8:46 PM - 22 May 2011|Fucking My Class XII or say it High school result gonna be out today 
8:45 PM - 22 May 2011|@KieranStrange y wrote dat last tym 
3:12 PM - 22 May 2011|@AvrilLavigne I so lucky n proud dat i LOVE u 
3:11 PM - 22 May 2011|@KieranStrange hw u doing 
3:03 PM - 22 May 2011|I m back my BITCHES 
3:02 PM - 22 May 2011|@AvrilLavigne Ur SMILE video really makes me SMILE Love u 
3:01 PM - 22 May 2011|Please @AvrilLavigne take the broken pieces of glass from my life too And make me SMILE 
10:41 AM - 22 May 2011|ne body wanna talk wid me 
10:40 AM - 22 May 2011|life is so beautiful 
8:52 PM - 13 May 2011|@stevefekete @Ferlazz @rodneyondrums @altberry @AvrilLavigne @JimmyMcGorman Tnx 4 an amazing Asian run Love ya'll see u in L A 
4:04 PM - 14 May 2011|@kieranstrange is wicked awesome Also strange You need to check her out British chicks rock http bit ly kZ1nSo 
8:20 PM - 14 May 2011|Most viewed video of the day Avril Lavigne - He wasn't acoustic http bit ly 1kiwOy Pls ReTweet 
10:22 AM - 14 May 2011|The worst part about travelling in trains You have to sleep like you are having sex 
10:36 PM - 14 May 2011|@Ferlazz I'm assuming you had Mexican Sushi 
6:30 PM - 13 May 2011|The Release Date for Avril Lavigne's Smile Music Video Has Changed http bit ly iImcNL #FB 
9:16 PM - 10 May 2011|I just got the greatest compliment from @Capuciinex3 When I listen to U playing guitar I know that Rock will never die so cool-thnx 
11:14 AM - 9 May 2011|Bye bye twitter birds Catch u birds later keep tweeting n smiling - 
11:10 AM - 9 May 2011|Love dis RT @avril_bandaids HILARIOUS New WTH TV Video of Avril Lavigne with a Camel in China http bit ly jZrkfG http fb me WYB1SiEI 
11:10 AM - 9 May 2011|Congratz became daady @kingsofleonfans Kings of Leon's Matthew Followill Becomes a Dad - US Magazine http bit ly m5otXd 
11:09 AM - 9 May 2011|2 weeks rest Vl strike back hard aftr it 
11:06 AM - 9 May 2011|@yelyahwilliams Change d pic it has become old 
11:05 AM - 9 May 2011|@KieranStrange Miss n feel my absense Take care of urself till then N gud luck wid ur EP B- XoXo 
11:03 AM - 9 May 2011|@AvrilLavigne Vl love u always Frm d mst deepest part of my heart I LOVE U 
11:01 AM - 9 May 2011|RT @AvrilVideo Full Song BLACK STAR by Avril L LYRICS http bit ly kcDcib 
11:01 AM - 9 May 2011|I am switching off twitter for 2 weeks Love u all Have a nice day till then 
10:59 AM - 9 May 2011|@AvrilLavigne U r d best of all I love u 
10:56 AM - 9 May 2011|@AvrilLavigne I love u extremely Wid my evry bloodshell lovEs u -P 
10:54 AM - 9 May 2011|Its fucking hot here 
10:50 AM - 9 May 2011|@AvrilLavigne Where u get dat 1 frm 
10:49 AM - 9 May 2011|@AvrilLavigne Waiting d whole day for u to tweet 
10:48 AM - 9 May 2011|@AvrilLavigne I love u 
10:48 AM - 9 May 2011|@AvrilLavigne Bogie hw was d day 
9:34 AM - 9 May 2011|RT @avril_bandaids Avril Lavigne Will go to Japan on the #BlackStarTour in Early 2012 More details- http bit l http fb me 11aM8R3yL 
7:48 AM - 9 May 2011|RT @JimmyMcGorman RT @dankanter @JimmyMcGorman and @AvrilLavigne in Singapore http lockerz com s 100208238 
5:35 AM - 9 May 2011|@AvrilLavigne best of luck for d show Love u 
5:24 AM - 9 May 2011|@rodneyondrums U didnt follw me back ' U made me sad U cnt evn kip just one of my request ' If u realy love simple thg in lyf follw me 
5:16 AM - 9 May 2011|@rodneyondrums Asking for d last tym Please please please follow me Last tym asking Please keep d request 
5:14 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 20 
5:14 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 17 
5:14 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 18 
5:14 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 19 
5:14 AM - 9 May 2011|RT @jintu_das @rodneyondrums Please please please follow me 15 
